input_F,input_R,filtered_F,filtered_R,denoised_F,denoised_R,merged_F,merged_R,tabled_F,tabled_R,tabled_together,nonchim
266,218,138,108,191,96,276,154,276,154,430,430
219,184,116,90,170,83,245,173,245,173,418,418
310,261,200,162,224,126,340,206,340,206,546,546
325,253,188,144,234,131,548,234,548,234,782,782
176,158,108,89,133,71,175,113,175,113,288,288
264,211,146,109,186,84,264,249,264,249,513,513
388,323,233,184,302,164,197,143,197,143,340,340
168,127,73,54,110,39,276,154,276,154,430,430
203,156,149,111,133,97,245,173,245,173,418,418
159,125,86,70,109,50,340,206,340,206,546,546
303,250,202,154,235,131,548,234,548,234,782,782
369,308,156,119,281,94,175,113,175,113,288,288
296,246,145,121,231,114,264,249,264,249,513,513
294,231,123,89,202,64,197,143,197,143,340,340
307,256,140,116,223,96,276,154,276,154,430,430
265,228,160,132,178,94,245,173,245,173,418,418
253,222,159,134,198,101,340,206,340,206,546,546
225,184,110,87,164,72,548,234,548,234,782,782
242,204,178,145,170,125,175,113,175,113,288,288
245,193,159,129,175,112,264,249,264,249,513,513
312,245,164,124,218,92,197,143,197,143,340,340
172,148,76,66,136,56,276,154,276,154,430,430
196,161,164,134,134,120,245,173,245,173,418,418
247,207,129,107,189,95,340,206,340,206,546,546
259,225,150,130,212,116,548,234,548,234,782,782
203,173,69,53,145,35,175,113,175,113,288,288
266,223,137,114,205,110,264,249,264,249,513,513
196,169,91,75,155,69,197,143,197,143,340,340
259,186,130,96,157,80,276,154,276,154,430,430
283,219,163,132,197,114,245,173,245,173,418,418
212,159,132,95,137,86,340,206,340,206,546,546
235,202,149,121,189,113,548,234,548,234,782,782
315,270,249,202,253,182,175,113,175,113,288,288
247,204,165,128,192,124,264,249,264,249,513,513
197,153,81,58,134,49,197,143,197,143,340,340
182,128,145,111,115,93,276,154,276,154,430,430
149,127,90,72,90,48,245,173,245,173,418,418
346,276,191,156,251,128,340,206,340,206,546,546
147,126,99,85,107,79,548,234,548,234,782,782
199,104,69,44,102,44,175,113,175,113,288,288
225,188,121,99,161,81,264,249,264,249,513,513
262,220,155,125,188,98,197,143,197,143,340,340
307,261,162,122,244,101,276,154,276,154,430,430
210,181,117,99,164,85,245,173,245,173,418,418
266,226,152,129,214,116,340,206,340,206,546,546
183,148,113,99,130,79,548,234,548,234,782,782
292,246,201,157,196,129,175,113,175,113,288,288
248,200,196,161,186,148,264,249,264,249,513,513
305,248,192,149,206,125,197,143,197,143,340,340
174,148,91,70,126,63,276,154,276,154,430,430
230,156,216,154,143,139,245,173,245,173,418,418
272,118,156,100,118,100,340,206,340,206,546,546
258,226,165,129,190,101,548,234,548,234,782,782
233,195,128,96,172,75,175,113,175,113,288,288
206,172,98,74,135,53,264,249,264,249,513,513
237,202,110,81,179,74,197,143,197,143,340,340
199,157,124,92,141,76,276,154,276,154,430,430
452,370,299,237,354,217,245,173,245,173,418,418
139,114,84,67,102,59,340,206,340,206,546,546
176,146,98,77,121,45,548,234,548,234,782,782
153,67,102,54,67,54,175,113,175,113,288,288
178,151,121,88,113,65,264,249,264,249,513,513
148,111,136,102,89,89,197,143,197,143,340,340
760,645,472,369,585,322,276,154,276,154,430,430
193,162,123,95,133,63,245,173,245,173,418,418
211,178,102,87,158,73,340,206,340,206,546,546
257,176,187,119,146,95,548,234,548,234,782,782
278,224,134,99,203,89,175,113,175,113,288,288
364,262,220,165,240,140,264,249,264,249,513,513
164,128,135,97,108,85,197,143,197,143,340,340
293,222,196,154,209,136,276,154,276,154,430,430
345,272,235,191,238,159,245,173,245,173,418,418
157,132,134,109,122,100,340,206,340,206,546,546
211,174,118,91,167,86,548,234,548,234,782,782
465,359,398,318,308,287,175,113,175,113,288,288
151,119,78,59,97,33,264,249,264,249,513,513
304,235,221,159,204,131,197,143,197,143,340,340
158,127,96,67,115,50,276,154,276,154,430,430
190,156,91,71,145,66,245,173,245,173,418,418
162,123,110,83,94,64,340,206,340,206,546,546
234,193,140,106,176,97,548,234,548,234,782,782
220,168,133,96,150,80,175,113,175,113,288,288
216,178,130,108,159,95,264,249,264,249,513,513
232,189,144,106,166,74,197,143,197,143,340,340
184,159,108,82,149,72,276,154,276,154,430,430
305,259,213,168,241,140,245,173,245,173,418,418
221,161,158,102,137,86,340,206,340,206,546,546
170,135,106,82,127,76,548,234,548,234,782,782
332,266,115,87,231,64,175,113,175,113,288,288
233,178,222,171,142,136,264,249,264,249,513,513
317,267,188,148,243,141,197,143,197,143,340,340
230,192,160,123,163,93,276,154,276,154,430,430
312,246,215,175,213,151,245,173,245,173,418,418
