sample,species,nReads,Area,Season,foo,CAP1,CAP2,mean.TA,mean.DIC,mean.DIC.new.sal,Salinity,Salinity.new,Temperature,Omega.aragonite,pH,pH_new,cluster
CP_201711,Littorina plena,1415,San Juan Island,Winter,01,-0.9854089029741534,0.24900484192968414,2121.4426,2012.1903,1997.276,35,30,9.23,1.3141769412022422,7.9,7.991278797120984,3
CP_201805,Littorina plena,146,San Juan Island,Summer,01,-0.332845544780431,0.925375436502294,2138.5464,1960.3559,1945.818,33,28,11.2,1.962438931067946,8.1,8.164831814669467,1
CP_201807,Littorina plena,21,San Juan Island,Summer,01,1.2197948282681672,-0.0835227668279115,2135.9375,1922.7358,1908.473,32,27,12,2.3188877114906794,8.1,8.245245100353273,3
FH_201707,Littorina plena,69,San Juan Island,Summer,01,0.4674553107607052,-0.37509989210768435,2109.2131,2015.4631,2002.899,29.060797,25.667427,11.25,1.2501669629146128,7.9,7.967377061105245,3
FH_201803,Littorina plena,1518,San Juan Island,Winter,01,0.6514516434290284,0.658545715810604,2124.4854,2008.4915,1993.588,31,26,9,1.4093155969145974,8,8.06984862083706,1
LK_201711,Littorina plena,301,San Juan Island,Winter,01,-0.9917794310246196,0.37302714159684736,2177.8081,2032.2959,2017.232,35,30,9.3,1.63876237851673,8,8.08252141548192,3
LK_201801,Littorina plena,706,San Juan Island,Winter,01,0.22055949820344345,-0.8098374996559851,2155.4719,2060.2665,2044.992,34,29,8.13,1.21750334633075,7.9,7.97743176972726,2
LK_201803,Littorina plena,8085,San Juan Island,Winter,01,0.5644687239087455,0.6397548706170391,2150.6837,1994.6985,1979.91,34,29,8.7,1.7283038765980765,8,8.135033916527812,1
LK_201805,Littorina plena,56,San Juan Island,Summer,01,-0.44176431586960785,0.47911670196111317,2138.8818,1986.5309,1971.803,34,29,11,1.7115257310028624,8,8.09129858788258,1
LK_201807,Littorina plena,131,San Juan Island,Summer,01,1.3057985305678006,-0.22884712279707342,2079.8998,1857.1973,1843.42,32,27,12.47,2.387955877724003,8.2,8.266178065066152,3
LL_201705,Littorina plena,899,Hood Canal,Summer,01,0.6862542137282767,-0.471016692382371,1530.5943,1362.3133,1358.141,23.859148,20.245759,18.1,1.8262773811878996,8.2,8.242807040161091,2
LL_201706,Littorina plena,2,Hood Canal,Summer,01,-0.6064582811779108,-0.08635078198213597,1607.2714,1503.273,1493.552,26.100419,22.40251,17.94,1.2245304895297222,7.9,8.006546604183779,3
LL_201708,Littorina plena,1173,Hood Canal,Summer,01,-1.247667066896848,-0.13513932876718754,1701.3718,1619.2449,1609.154,23.918124,20.543653,18.4,1.0978372789195459,7.8,7.93902637971152,3
LL_201709,Littorina plena,363,Hood Canal,Summer,01,-0.9801757627573192,-0.7378172196975433,1959.5238,1819.2398,1805.744,32,27,12.7,1.573297064743839,8,8.083638888397818,3
LL_201801,Littorina plena,4020,Hood Canal,Winter,01,1.2419560960010407,-0.024365413145641824,1859.4254,1751.1915,1738.193,30,25,9.12,1.249496970885586,8,8.08720223594871,3
LL_201803,Littorina plena,7624,Hood Canal,Winter,01,-0.52944583246698,0.6181196574986421,1734.4402,1630.7066,1618.585,26,21,9.53,1.2017398793712786,8,8.146582545841621,1
LL_201805,Littorina plena,3859,Hood Canal,Summer,01,1.5008497899442952,-0.22611518118908477,1429.4347,1258.472,1249.064,16,11,15.4,1.9810979007111864,8.4,8.536043125052235,2
LL_201807,Littorina plena,2336,Hood Canal,Summer,01,1.1687041457168281,1.331426967169389,1887.0403,1609.2283,1597.188,15,10,19.2,3.5679972236209885,8.5,8.647806721321537,1
PO_201705,Littorina plena,19,Hood Canal,Summer,01,0.21150513597069323,-0.0675482942191658,1489.4169,1350.8542,1346.375,21.692174,18.160502,18.05,1.5574727741035737,8.1,8.192082479736264,2
PO_201706,Littorina plena,3,Hood Canal,Summer,01,-0.44314962372567207,-0.14836660556344444,1599.7757,1476.6311,1467.066,26.521432,22.807646,17.48,1.3821535535041127,8,8.07170911646853,3
PO_201707,Littorina plena,46,Hood Canal,Summer,01,-0.6563669542288513,1.0522226535074588,1711.8917,1559.7343,1550.014,23.28426,19.912118,22.1,1.8255914594194742,8,8.120145543292297,1
PO_201801,Littorina plena,21887,Hood Canal,Winter,01,0.1937379295700401,0.14407407586111354,2008.3296,1904.9596,1890.793,25,20,9.99,1.3160884288563157,8,8.12316742931316,1
PO_201805,Littorina plena,224,Hood Canal,Summer,01,1.1239670997402789,-0.8372276620458042,1680.3948,1493.8088,1482.672,20,15,13.7,2.1178001495152454,8.3,8.44051866261191,2
SA_201706,Littorina plena,6573,Hood Canal,Summer,01,0.35290841062994377,-0.6082000434514233,1896.8286,1674.9639,1663.901,31.474517,27.573947,15.6,2.3360434386423323,8.2,8.23287152501275,2
SA_201709,Littorina plena,3,Hood Canal,Summer,01,-0.3245645284293001,-1.7292292833502747,2077.694,1955.3602,1940.855,32,27,12.6,1.4657437923541161,7.9,8.02230090937016,3
SA_201803,Littorina plena,83,Hood Canal,Winter,01,-0.3414108034411843,0.9082328264002082,2002.5925,1848.1785,1834.46,30,25,10,1.721799434246466,8.1,8.188635962858271,1
SA_201805,Littorina plena,362,Hood Canal,Summer,01,1.4344294922623753,-0.6106297793114707,2010.9242,1682.3065,1669.811,28,23,15.4,3.5801885185980056,8.4,8.4989081270716,2
TR_201708,Littorina plena,545,Hood Canal,Summer,01,-1.7307883156244668,0.3459168314427208,1808.2477,1652.6672,1642.368,24.827062,21.44925,19.87,1.8444323299129204,8,8.120313469581212,3
TR_201709,Littorina plena,1343,Hood Canal,Summer,01,-0.3203097693771305,-0.7912401498967738,1993.7342,1851.1381,1837.398,30,25,12.86,1.6379025459402445,8,8.113699621906518,3
TR_201711,Littorina plena,3,Hood Canal,Winter,01,-0.5351333423990137,0.38506466030266384,1996.2456,1923.6023,1909.319,29,24,11,1.0354393874031336,7.8,7.942080118116935,1
TR_201801,Littorina plena,1751,Hood Canal,Winter,01,1.530571041787972,-0.16616203466606713,1732.0284,1639.5022,1627.324,28,23,8.32,1.080993457945767,8,8.092880317008825,3
TR_201803,Littorina plena,30696,Hood Canal,Winter,01,-0.27914287439654645,0.8048814817876673,1966.4781,1839.7845,1826.128,30,25,9.7,1.4554119649536896,8,8.121828615684636,1
TR_201805,Littorina plena,5055,Hood Canal,Summer,01,1.6712353221323941,0.32655815363702323,1867.5814,1518.3581,1507.067,25,20,17,3.853267790885011,8.5,8.597323684034771,2
TR_201807,Littorina plena,57,Hood Canal,Summer,01,-0.040113749668503444,0.8205519277512591,1997.8729,1747.9586,1734.965,26,21,20.4,2.903304827275554,8.2,8.310956402722695,1
TW_201705,Littorina plena,31027,Hood Canal,Summer,01,-0.41323391033544354,-0.15825423418540238,1518.1809,1388.5175,1383.914,21.692174,18.160502,19.23,1.4984991339307812,8.1,8.13927648953247,3
TW_201708,Littorina plena,159,Hood Canal,Summer,01,-1.7080097123734466,0.4419285741791435,1718.7985,1630.9199,1620.756,22.961348,19.590392,19.97,1.1811832236393185,7.9,7.951297992835792,3
TW_201709,Littorina plena,21,Hood Canal,Summer,01,-0.5818721173187777,-0.1415313574736771,1874.7856,1695.7015,1683.091,25,20,16.7,2.0641842677373896,8.1,8.250400667413679,3
TW_201711,Littorina plena,149,Hood Canal,Winter,01,-0.4209901366121354,-0.9048191308808335,1412.5997,1367.3444,1357.15,20,15,9.2,0.6452641599055532,7.9,8.0399363004988,2
TW_201803,Littorina plena,1668,Hood Canal,Winter,01,-0.8671777823106479,0.42391358255259726,1765.2429,1586.9426,1575.118,21,16,10.29,2.005031704748693,8.3,8.43435989556038,1
TW_201805,Littorina plena,83477,Hood Canal,Summer,01,0.6109941707668118,0.25049179552928463,1687.2316,1477.1231,1466.111,20,15,17,2.4217571767072883,8.3,8.446076376854693,1
